User:ID(User),:LABEL,name,review_count,yelping_since,useful,fans,average_stars
XLs_PhrJ7Qwn_RfgMM7Djw,User,Weili,90,2009-07-12 14:34:54,71,1,3.62
IpLRJY4CP3fXtlEd8Y4GFQ,User,Robyn,518,2009-04-11 14:35:46,1325,35,2.95
0juMoWXC7z4c7LgQP2s3sA,User,JR,199,2011-03-18 11:58:09,482,9,3.4
FlhZYUEhfpfm0Ynxacftwg,User,Kate,94,2010-07-18 11:33:39,124,6,4.1
PadmV2GEoA6mWpQUpPh7Ig,User,Monica,695,2006-11-08 18:36:50,1559,104,3.82
1-gnHNzZNbn8lFwYRF_CtA,User,Liz,112,2011-09-13 13:25:17,563,36,3.7
UJEjJgi1xpmLR4b3J8fn2Q,User,Ken,341,2010-03-13 15:10:08,1385,35,3.65
7LmJ87EijrHcoYRu9WgoHg,User,Jack,1050,2007-01-24 13:08:53,3788,117,3.18
FH14lvoIAKhva9KVgvzKJw,User,Dylan,34,2011-09-19 21:44:11,56,2,2.86
kLm3B6LeboEZWX_4otpILA,User,Izzat,1670,2010-04-11 01:43:25,794,35,3.65
VFXKRVzEMbnsDcYFdwiiuA,User,Kent,1072,2008-04-19 07:27:01,694,22,3.35
y5qEpAfJQaOjjG8ZJWrp6w,User,Jill,333,2007-03-24 15:47:23,1106,32,4.23
-tnodf38uCXjogMhZtcWxw,User,Matt,453,2008-08-26 14:24:16,384,7,3.33
mZHk_DPbeUTQBZOBOyoqlA,User,Erin,280,2010-06-22 16:34:18,936,28,3.53
GG0mFsEXb-02_dzFPqRV1Q,User,Mandy,754,2011-08-30 13:46:26,2925,57,3.46
nPJw7YpKgHE6fowxgl3l1A,User,Abbie,157,2011-08-26 04:14:07,201,15,4.06
k_muz40jJaiY1PVga6NDXA,User,Louis,1070,2008-06-09 00:16:02,2727,64,3.84
ojxS1v-8nUvEEx4DlsPQrA,User,Kristin,655,2010-05-18 03:07:02,621,34,3.69
SBpz4xJ8MnrzXOpWiETCyw,User,Joe,37,2010-03-05 22:04:06,92,4,4.37
NNyr4wknApjc5nF9QOO2Mg,User,Melissa,186,2009-08-27 17:14:44,712,39,4.32
cwChkLd3jcvmqrk5UfUGJw,User,Rock,93,2010-04-20 01:17:25,36,1,4.4
FlXBpK_YZxLo27jcMdII1w,User,Mallory,1158,2011-02-21 20:33:35,3875,102,4.02
p3heVCnq3M0H2LMxIuuc5g,User,Andreas,1178,2009-01-19 16:06:22,2428,95,3.43
lT0jFHCIloX3bnF5eu0ERg,User,Mikey,262,2009-09-28 15:42:26,812,44,3.96
rlDDkE6G-nMO-z0hNqekzA,User,Brad,1403,2009-05-10 01:11:32,3782,191,3.93
SNMkSpTy6buAfhKx6NSNJQ,User,Ted,84,2009-03-08 17:03:13,44,2,3.86
KmUFaI21IQfQWajv3BrEgw,User,Timothy,79,2011-03-29 22:05:31,78,4,3.45
EQSHAfMrLKqYK0zLx_01yw,User,Wayne,315,2007-09-14 07:01:09,391,15,3.85
SdlozylmEKkBW910mGw1dQ,User,Michael,90,2008-12-12 01:44:02,191,5,3.74
6Mv-qMJyxSokCu8YFM1o0A,User,Jason,202,2009-10-04 17:59:02,586,48,3.57
CHeMEder5ijEoCPLWjto_Q,User,German,222,2011-10-26 20:46:11,206,4,3.37
00njy47jpw8fW40DOcrEew,User,Paul,769,2010-05-21 22:56:03,409,19,3.76
_BcWyKQL16ndpBdggh2kNA,User,Karen,4274,2008-05-29 12:29:54,16950,558,3.69
-NbeVN5tnwdyYAvdNkKMjw,User,Dominic,1101,2012-04-25 19:31:00,6704,193,3.75
HZRfI9weev2Vr_w0jPF8-Q,User,Martha,208,2008-03-17 04:28:39,849,16,3.47
WDrVbBxsNZt-0ytEyUAaBg,User,Sarah,242,2008-11-03 21:53:07,365,15,3.91
oi9hzJPnsf1BPdCn2wIClA,User,Carmella,328,2006-11-12 16:49:34,662,20,3.66
owQqWfiEnsHGJIcrzDJ_Xw,User,Leah,115,2009-01-15 23:04:14,306,4,3.63
DeqKbAFwcyeC5pvR-SereQ,User,Barry,277,2009-02-19 15:05:19,563,22,3.19
24uDtsT2ItNHjQG9s5jh5g,User,Elizabeth,98,2009-01-14 16:11:58,168,8,4.05
xxL-DwwdT5VGvss9mCzOGg,User,Adam,1888,2012-06-03 11:17:06,9232,307,3.82
y3Wtx1pOvTiqsJRkjceXiw,User,Catherine,371,2008-12-15 23:29:58,2130,89,3.39
cJCiN7dtlGLW2-zApamFQA,User,Tricia,231,2009-05-10 23:44:57,377,12,3.74
QhCfs4lkeWdJx7_lZdfCSA,User,Norry,651,2008-11-27 21:02:08,2761,135,3.91
IPxJLWpKptzpTWlfjFiuHA,User,Gordon,187,2009-03-03 11:40:10,525,25,3.05
qurv1eJZswxUZaZqN53Meg,User,Kristie,1156,2008-05-15 05:54:17,3121,100,3.55
rMsB82tk9uOB6JumPMgczg,User,Brett,603,2007-08-03 01:52:10,14471,436,3.83
NqZJMXmwEtirJvx-qpyLmQ,User,Barrett,287,2010-06-30 15:02:14,413,17,3.45
IZaWH5nva6mXn_MVxMHtlw,User,Sujan,355,2007-02-12 16:09:53,536,19,3.49
8AowrKXa1girwkf1nDM1Lg,User,Bill,28,2011-09-05 16:47:02,27,2,2.87
BPZEAoU0sB6CFGusTErUuA,User,Vince,1995,2010-08-22 07:08:32,11713,220,3.78
0S_i96G5FR7oYO3QeH_01Q,User,Joy,1416,2009-02-11 02:08:27,5328,140,3.66
R4QhWtWTnwI6qBZD02WRIA,User,Valerie,51,2010-06-25 22:27:54,98,4,2.92
6WG2IGTVr-xKn0pYQZJGjw,User,Felicia,323,2008-02-02 03:37:15,2967,187,4.19
-hKniZN2OdshWLHYuj21jQ,User,Nicole,982,2006-08-02 14:13:58,1671,57,4.04
huayr-WjhExgJPIZcRhZIQ,User,Michelle,428,2007-08-26 16:47:24,2103,30,3.85
bon8_JZj5clcxf6weJ7nrw,User,Bobby,181,2009-09-18 13:49:30,302,9,3.38
2OiyOHo7CQY05bFwY55HjA,User,Christopher,269,2009-12-16 07:31:44,725,43,3.64
g3HFkZgloxLQCvoJ5Zs5gg,User,Jana,3152,2009-08-03 14:55:03,13678,236,3.96
q4-Nvtr-FlHxAZu66vm-ig,User,Joe,777,2009-03-27 21:47:16,4371,123,3.76
mx3H7ezr_6M08mIhirxsQA,User,Will,27,2006-03-11 04:06:01,80,4,4.04
dF9DauP27z5pZRns-AGcPw,User,John,201,2007-05-27 16:14:36,514,15,4.08
-O_FGGkZEeg509iOZADxDw,User,Su,259,2011-02-26 00:40:21,252,21,3.4
kuhYz6erOHGKazHex8_KCQ,User,Ruth,138,2009-03-26 18:56:52,386,7,3.59
y8jJV4AeH6ZEBagQ_ys8KQ,User,Jenny,919,2009-08-25 02:46:57,1073,71,3.62
bo-tTbOoIGvO3gPZE_z19Q,User,MoCe,164,2010-09-02 13:26:01,124,1,3.23
wZPizeBxMAyOSl0M0zuCjg,User,Jess,5002,2008-08-27 20:20:07,21637,525,3.65
We9qK9M-oI6LUULbQo_InQ,User,angela,828,2006-08-25 22:31:22,2058,90,3.5
g35P2UgyRK1ercs6rVkN1Q,User,Seve',244,2007-08-15 15:49:52,728,26,3.59
3ywXGq4PyUoR_XXDvK_RIA,User,Toni,729,2006-06-13 03:44:01,1875,77,4.2
IWxNILja-WvurTuJWJ4skA,User,Jeff,73,2010-11-19 18:05:16,181,2,4.05
qTjcvqkIszo2otqIxGmbKw,User,Bradey,105,2008-08-23 16:58:45,144,2,4.19
g_6QIWOCYV3fHWeC2rRPmw,User,Aboud,617,2010-05-22 12:59:46,468,23,3.27
