:START_ID(business_id),:END_ID(Ambience),:TYPE
Dy91wdWkwtI_qgjAIZ0Niw,divey,IN_AMBIENCE
_Oksx3ALgKLRVxeAR8l_qA,classy,IN_AMBIENCE
A_-Vv5oKZNqxsV69_7E2KQ,trendy,IN_AMBIENCE
A_-Vv5oKZNqxsV69_7E2KQ,classy,IN_AMBIENCE
A_-Vv5oKZNqxsV69_7E2KQ,casual,IN_AMBIENCE
5R6YO6K9PkthkTbXqV9slQ,casual,IN_AMBIENCE
5R6YO6K9PkthkTbXqV9slQ,classy,IN_AMBIENCE
iXemjTj5TOByT1-cNTSaDw,casual,IN_AMBIENCE
iXemjTj5TOByT1-cNTSaDw,classy,IN_AMBIENCE
5ODCsQbRdsFIWlypGF3iUw,trendy,IN_AMBIENCE
YdpDpp130fxiX2DUdQLSqg,classy,IN_AMBIENCE
EROSyhoWNCUH53NrDrsHgQ,casual,IN_AMBIENCE
SkWaAf50KiN2m0zXfnAuiA,casual,IN_AMBIENCE
CKKY7kxtznKVzm9FBzAL4w,classy,IN_AMBIENCE
OlOVRlcEstxKK_6hMjy63A,casual,IN_AMBIENCE
o8JeOB8HTa5HYHg6hfqTHw,divey,IN_AMBIENCE
7Ld1DxAhSlGSateku0iqbg,classy,IN_AMBIENCE
7O7YHTUB3uqXHsQSLKR0SA,casual,IN_AMBIENCE
MZW_eTFYFBvHYg5OFqDRCA,casual,IN_AMBIENCE
yDiWYpuzRxcTgSi_O4JZpQ,classy,IN_AMBIENCE
yDiWYpuzRxcTgSi_O4JZpQ,casual,IN_AMBIENCE
ThZyytdc_kj2uBYFiSao-A,casual,IN_AMBIENCE
uoMWvXch6sWnI9FMsE_-Vg,casual,IN_AMBIENCE
LSxmfbgcZLdQ5ai2vf2nmA,casual,IN_AMBIENCE
psD0qpCK-iENFO9c8hmnkw,casual,IN_AMBIENCE
5RtAJPXFLTzwALIe1mtNuA,trendy,IN_AMBIENCE
5RtAJPXFLTzwALIe1mtNuA,casual,IN_AMBIENCE
mtowE4p6gOgyGrHAsMz-rg,casual,IN_AMBIENCE
oS70RVt-RegY3Ts0hLASQA,casual,IN_AMBIENCE
VMiDHHR-JHgB4ZoVluxpLQ,divey,IN_AMBIENCE
ixsljpxu56VCTtayIELqUg,casual,IN_AMBIENCE
OGbdvZAvSZ30l8sde9GSwQ,casual,IN_AMBIENCE
hFa7UxRZgJDQJ3UBhQsu9A,classy,IN_AMBIENCE
_BqPnypB6wPZRPbEqtKy6A,casual,IN_AMBIENCE
sKQ0KYon7eT6xEnCpb18aw,casual,IN_AMBIENCE
iCfB58Cvb_rw_SDAgPXLfA,casual,IN_AMBIENCE
citzbW-2MVEZRNBqpVO-Jw,casual,IN_AMBIENCE
jVJH1KfitQi87MYMh6vyMg,casual,IN_AMBIENCE
iJKOUYgigs4VYsWny6AtEA,casual,IN_AMBIENCE
W6S482dRQ_9nCcLjfv8VNg,casual,IN_AMBIENCE
1Ye_elsSB-XjKgWAHDwPbw,casual,IN_AMBIENCE
fLeD_h6uD4yEN2ciI08RiA,casual,IN_AMBIENCE
19fHbf0qzihtEtXQZ2ntww,classy,IN_AMBIENCE
Y4eaKcLP0hCIfvhknOT4uQ,casual,IN_AMBIENCE
oQcV39W4ApVURMAXd7qhzw,classy,IN_AMBIENCE
VHJBGikBqXpdc6mc7qtQ8g,casual,IN_AMBIENCE
fd_fNaeZxcZfUza3K6Be9w,casual,IN_AMBIENCE
4VGEq2AHUw3uP2L51S8raw,casual,IN_AMBIENCE
TUU1mt51yasYH0QYwzKTEg,casual,IN_AMBIENCE
G01vpgoEWyYxESzZEij5sA,casual,IN_AMBIENCE
koYe0Xt78lAigCvFRiCw8w,casual,IN_AMBIENCE
yn57lTycvUvogODsFEyWVQ,casual,IN_AMBIENCE
hrPLZ99KVPz_7yxZVfc9kA,casual,IN_AMBIENCE
E55sNGuWYTRlH3r6_5OlOg,intimate,IN_AMBIENCE
E55sNGuWYTRlH3r6_5OlOg,classy,IN_AMBIENCE
8vvMGaJ5biveUVE6-yTipQ,trendy,IN_AMBIENCE
sTvFxzQU_4bm-owSJXx0MQ,casual,IN_AMBIENCE
qFsh80AAL90tkOc0n98bqg,casual,IN_AMBIENCE
jpEhAUyitrgwDatsgeBgXg,casual,IN_AMBIENCE
shIAkjO9IFa4yTM5EENPTQ,casual,IN_AMBIENCE
h3DUMo4oWyVQ9ZfGar6vPg,upscale,IN_AMBIENCE
h3DUMo4oWyVQ9ZfGar6vPg,classy,IN_AMBIENCE
uyXVm7lhbR26t5Jy20VYPg,casual,IN_AMBIENCE
Nvy1jETQItFjG0oyjpGk7w,hipster,IN_AMBIENCE
Nvy1jETQItFjG0oyjpGk7w,trendy,IN_AMBIENCE
Nvy1jETQItFjG0oyjpGk7w,casual,IN_AMBIENCE
AjxhKYSbc1NrGOxAcqxb9w,casual,IN_AMBIENCE
52RFRa6UlbIxy8EnWJQpjg,casual,IN_AMBIENCE
_ju1BXAF5g5QtAFfZZKO1g,hipster,IN_AMBIENCE
IugPZVHmgdGvOmNVi07ueg,casual,IN_AMBIENCE
f4ykOH9Z-87b2l3Ea4HDPA,casual,IN_AMBIENCE
MIK2lBW3eFpPcy0vKxPS6w,casual,IN_AMBIENCE
sX_vxWQuZu_EA1bkCX95Yw,casual,IN_AMBIENCE
ucDPodtTLX7LHZnigGRa4Q,classy,IN_AMBIENCE
ucDPodtTLX7LHZnigGRa4Q,casual,IN_AMBIENCE
LwXkXDdsu1yWWcWAbt2fYw,casual,IN_AMBIENCE
Cv4QFI1gGGrgRSVnMU0qug,casual,IN_AMBIENCE
Il3GDb6A7rGSYdt89Wb0Fw,casual,IN_AMBIENCE
QpQ8CxC14jnNOdb7B2R6zQ,casual,IN_AMBIENCE
CZ2KPQtt0ah0up00YK0Ypg,casual,IN_AMBIENCE
081vVr80-uscqGGaFAxKfQ,classy,IN_AMBIENCE
081vVr80-uscqGGaFAxKfQ,casual,IN_AMBIENCE
1DCPuF0_VZNLRvHEAVJJng,casual,IN_AMBIENCE
UXJEQycac7JKyyTVDjWBdA,casual,IN_AMBIENCE
hBmWWvU6BSL6i_eYapOFGQ,casual,IN_AMBIENCE
G1M1OJmxp5dPY3rRYpl5WQ,casual,IN_AMBIENCE
w0RHRKHj9g2G3H5LcrOiKw,trendy,IN_AMBIENCE
w0RHRKHj9g2G3H5LcrOiKw,casual,IN_AMBIENCE
