:START_ID(Business),:END_ID(City),:TYPE
Dy91wdWkwtI_qgjAIZ0Niw,Wilmington,IN_CITY
_Oksx3ALgKLRVxeAR8l_qA,Wilmington,IN_CITY
_NhT0A3LUEd75L_cEXf2_A,Wilmington,IN_CITY
A_-Vv5oKZNqxsV69_7E2KQ,Wilmington,IN_CITY
JNH-hcySeuGmtI_t8dG3Dw,Wilmington,IN_CITY
ekBvLA43oEWEswUXZI0bYQ,Wilmington,IN_CITY
5R6YO6K9PkthkTbXqV9slQ,Wilmington,IN_CITY
iXemjTj5TOByT1-cNTSaDw,Newark,IN_CITY
5ODCsQbRdsFIWlypGF3iUw,Wilmington,IN_CITY
s-7Q1GAQmB-Qsm_UwviHVA,New Castle,IN_CITY
59fWFpyDg01BTEH-Hh6jdw,Claymont,IN_CITY
YdpDpp130fxiX2DUdQLSqg,Wilmington,IN_CITY
EROSyhoWNCUH53NrDrsHgQ,Wilmington,IN_CITY
Vo4NZBtF3mr6EJitNnq-Wg,Greenville,IN_CITY
xNWueX3uZjmixQUkY38GzQ,Wilmington,IN_CITY
sFtEbnWDtIADseyr8Lx6Qw,New Castle,IN_CITY
ulwns2OavT81v6zG-Sk6ng,New Castle,IN_CITY
B6zs6ywn7TfhOmmDtuWQkw,Newark,IN_CITY
qmDm7guS7TAZTSDFYY2bug,Wilmington,IN_CITY
SkWaAf50KiN2m0zXfnAuiA,Hockessin,IN_CITY
D392vqhMjDPkHw1U8p66Uw,Wilmington,IN_CITY
O1gJVygW6UVgKCpErmYZfw,Wilmington,IN_CITY
ggJXlslLYndvE7n3hgJBCQ,Wilmington,IN_CITY
CKKY7kxtznKVzm9FBzAL4w,Wilmington,IN_CITY
Q4OTSH9DaoeqtYcg6qYtZg,Wilmington,IN_CITY
OlOVRlcEstxKK_6hMjy63A,Wilmington,IN_CITY
eNxh94Ogxwuomg7JsZu98w,Newark,IN_CITY
o8JeOB8HTa5HYHg6hfqTHw,Wilmington,IN_CITY
7Ld1DxAhSlGSateku0iqbg,Wilmington,IN_CITY
7O7YHTUB3uqXHsQSLKR0SA,Newark,IN_CITY
MZW_eTFYFBvHYg5OFqDRCA,Wilmington,IN_CITY
i2qrXvLkhyG4xyRI-ddcZA,Newark,IN_CITY
yDiWYpuzRxcTgSi_O4JZpQ,New Castle,IN_CITY
ThZyytdc_kj2uBYFiSao-A,New Castle,IN_CITY
uoMWvXch6sWnI9FMsE_-Vg,Wilmington,IN_CITY
02kw1y-cUK5v_u5BaAQvjg,New Castle,IN_CITY
fCFUlCHG4spZ3O0vbqnYjA,Wilmington,IN_CITY
LSxmfbgcZLdQ5ai2vf2nmA,Newark,IN_CITY
psD0qpCK-iENFO9c8hmnkw,Claymont,IN_CITY
c4D851qxOujE5KTH8upXTA,Newark,IN_CITY
5RtAJPXFLTzwALIe1mtNuA,Wilmington,IN_CITY
xtbAqP_Ftb3kYJ53Hv6H5w,Wilmington,IN_CITY
ZB2T9dwB4vhHPsJC_4eOnw,Newark,IN_CITY
mtowE4p6gOgyGrHAsMz-rg,Wilmington,IN_CITY
f9iPWhAeA_IKCF-aPcud1A,Wilmington,IN_CITY
ccEgmgcc5uLJejser0UD0g,New Castle,IN_CITY
oS70RVt-RegY3Ts0hLASQA,New Castle,IN_CITY
N-_ilHVIMQqzkga7nHfA8A,Wilmington,IN_CITY
VMiDHHR-JHgB4ZoVluxpLQ,Wilmington,IN_CITY
ixsljpxu56VCTtayIELqUg,Wilmington,IN_CITY
3zWNxtRhyR4rLPfXyQgSyw,Wilmington,IN_CITY
XF86J5bJKkmueBL-PmPbcg,Wilmington,IN_CITY
OGbdvZAvSZ30l8sde9GSwQ,Wilmington,IN_CITY
wWcETNWBnFEi1J_W_9hXJA,Wilmington,IN_CITY
DAcqRGI_u8yNCcUIczfNxA,Talleyville,IN_CITY
gTM5c2B3X2nEvYg6Jlw_EA,Wilmington,IN_CITY
k9W1gDPg4TziOTqY_xjTyQ,Wilmington,IN_CITY
hFa7UxRZgJDQJ3UBhQsu9A,Wilmington,IN_CITY
_BqPnypB6wPZRPbEqtKy6A,Wilmington,IN_CITY
